ZIP_CODE	STATE_ABBREV	COUNTY_NAME	CITY_NAME	STATE_SALES_TAX	STATE_USE_TAX	COUNTY_SALES_TAX	COUNTY_USE_TAX	CITY_SALES_TAX	CITY_USE_TAX	TOTAL_SALES_TAX	TOTAL_USE_TAX	TAX_SHIPPING_ALONE	TAX_SHIPPING_AND_HANDLING_TOGETHER
85033	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85034	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85035	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85036	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85037	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85038	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85039	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85040	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85041	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85042	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85043	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85044	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85045	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85046	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85048	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85050	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85051	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85053	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85054	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85060	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85061	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85062	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85063	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85064	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85065	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85066	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85067	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85068	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85069	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85070	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85071	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85072	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85073	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85074	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85075	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85076	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85078	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85079	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85080	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85082	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
